region,latitude,longitude,temperature,oxygen_level,humidity,wind_speed,pressure,rainfall,ffmc,dmc,dc,isi,bui,fwi,historical_frequency,risk_score,risk_category,fire_occurrence
Cascades Valley,45.7074,-121.3958,24.11,20.69,63.93,5.53,1008.91,0.0,67.2,42.0,194.1,7.85,54.5,5.97,0.18,20.5,LOW,0
High Desert Plateau,34.2217,-117.2232,48.0,20.58,44.21,9.27,1003.87,0.0,99.5,82.8,760.6,40.0,130.2,80.0,0.28,74.9,HIGH,1
Sierra Foothills,38.7511,-121.0533,29.46,20.32,78.05,16.75,1017.13,1.21,68.9,149.6,216.7,12.28,109.8,18.74,0.48,36.4,MEDIUM,0
Pacific Coast Ridge,38.0795,-122.3682,25.69,21.08,34.98,11.01,1011.46,2.14,81.2,49.6,239.5,19.27,65.3,22.43,0.35,31.8,MEDIUM,0
High Desert Plateau,34.9909,-117.3303,30.38,20.1,15.51,12.44,1007.81,0.81,97.3,99.1,578.4,40.0,138.7,80.0,0.28,72.6,HIGH,1
Sierra Foothills,38.2382,-121.009,11.71,20.53,70.47,4.3,1021.22,0.0,63.3,20.4,507.9,6.14,37.0,3.42,0.48,13.2,LOW,0
Pacific Coast Ridge,37.6121,-122.1125,24.48,21.31,60.95,16.85,1022.76,1.17,69.5,28.6,230.2,12.71,43.7,7.79,0.35,27.9,LOW,0
Pacific Coast Ridge,37.7454,-122.3149,27.51,21.02,37.62,3.25,999.32,0.0,87.6,78.3,213.7,19.97,81.7,30.11,0.35,51.8,MEDIUM,0
High Desert Plateau,34.7007,-117.6351,10.99,21.76,41.56,14.7,1041.99,0.0,72.5,28.9,146.3,13.96,38.7,7.81,0.28,28.0,LOW,0
Sierra Foothills,38.6199,-120.7394,29.98,21.41,30.42,13.07,1006.34,0.0,91.9,61.4,188.9,35.23,67.8,80.0,0.48,61.7,HIGH,1
High Desert Plateau,35.0593,-116.9231,20.4,19.29,47.13,17.59,1024.11,0.0,83.8,53.4,455.6,26.6,82.6,59.04,0.28,57.3,MEDIUM,0
Cascades Valley,45.2627,-121.5398,18.86,21.76,37.19,10.44,986.93,0.0,85.2,18.8,420.6,23.17,33.8,17.17,0.18,38.5,MEDIUM,0
Pacific Coast Ridge,37.636,-122.3755,23.89,20.79,50.67,7.27,1024.37,2.48,71.0,48.7,302.3,10.12,69.4,9.55,0.35,12.8,LOW,0
High Desert Plateau,34.3114,-116.9469,38.56,21.62,80.21,10.18,1033.96,0.0,81.0,148.9,118.1,18.63,71.8,23.11,0.28,51.2,MEDIUM,0
Pacific Coast Ridge,37.5085,-122.3201,4.55,21.27,59.79,0.44,1044.26,0.0,61.5,16.7,325.9,4.7,29.7,2.37,0.35,11.2,LOW,0
Sierra Foothills,38.7123,-120.9546,38.92,20.53,41.27,15.07,1012.26,2.17,94.1,22.9,845.5,40.0,42.8,80.0,0.48,63.2,HIGH,1
Northern Boreal,49.4061,-123.3408,24.67,19.53,68.98,8.72,996.67,0.0,71.3,65.9,619.4,10.84,104.1,15.38,0.22,23.5,LOW,0
High Desert Plateau,34.5554,-116.8869,32.19,21.78,90.65,7.93,1003.34,6.51,39.1,32.7,277.4,2.08,50.5,3.11,0.28,0.0,LOW,0
High Desert Plateau,34.0462,-117.2291,24.83,21.37,40.52,29.95,991.08,0.3,91.9,112.1,346.4,40.0,124.0,80.0,0.28,59.1,MEDIUM,0
Pacific Coast Ridge,37.7085,-122.5133,20.47,20.55,39.49,17.97,1024.09,0.0,88.2,79.9,429.0,33.58,109.0,80.0,0.35,63.9,HIGH,1
Sierra Foothills,38.9168,-120.8222,33.86,20.75,60.4,21.38,1003.24,0.94,88.6,130.2,244.2,37.34,111.6,80.0,0.48,67.9,HIGH,1
Cascades Valley,45.3144,-121.4063,28.76,21.22,30.43,17.55,999.84,1.73,96.3,16.9,214.1,40.0,28.2,76.92,0.18,56.4,MEDIUM,0
Sierra Foothills,38.2585,-120.7793,29.8,21.57,52.86,15.41,1004.46,0.0,83.5,26.9,505.8,24.75,47.5,28.19,0.48,53.6,MEDIUM,0
High Desert Plateau,34.3287,-117.2678,25.39,21.28,12.45,27.36,1016.48,0.0,99.5,64.4,423.3,40.0,93.3,80.0,0.28,77.3,HIGH,1
Cascades Valley,45.4944,-121.621,29.6,21.63,76.25,18.77,1019.13,0.0,77.3,105.2,384.1,19.78,124.9,45.12,0.18,49.1,MEDIUM,0
Sierra Foothills,38.8634,-121.0185,18.56,20.61,32.71,5.71,1024.69,0.0,76.6,75.9,119.1,12.69,58.5,10.41,0.48,38.6,MEDIUM,0
Northern Boreal,49.207,-122.9205,40.84,19.94,93.66,7.76,983.82,1.09,72.9,75.2,387.6,11.4,101.3,15.84,0.22,27.1,LOW,0
Pacific Coast Ridge,37.7864,-122.2504,48.0,22.05,76.65,13.59,1007.03,0.0,90.2,57.5,576.5,32.86,92.1,80.0,0.35,72.6,HIGH,1
Sierra Foothills,38.3607,-120.6417,22.03,20.73,65.71,7.24,1002.26,0.0,73.5,86.0,186.3,11.52,79.9,12.64,0.48,24.9,LOW,0
Sierra Foothills,38.5991,-120.6256,27.76,22.07,40.87,7.95,1005.77,0.0,86.0,70.3,147.3,22.1,64.1,29.24,0.48,55.3,MEDIUM,0
Northern Boreal,49.1345,-123.2173,33.59,20.68,45.85,14.7,1020.36,0.0,95.0,84.2,659.1,40.0,127.6,80.0,0.22,64.3,HIGH,1
High Desert Plateau,34.5452,-117.2207,31.54,22.37,29.27,3.34,1002.94,7.0,66.8,6.1,288.6,7.03,11.6,1.17,0.28,5.2,LOW,0
Pacific Coast Ridge,37.9019,-122.4645,20.58,21.09,37.23,17.54,1005.84,1.27,81.0,21.2,105.2,23.09,28.2,14.21,0.35,23.6,LOW,0
Sierra Foothills,38.2883,-121.6125,26.04,21.99,69.94,6.62,1025.8,0.0,73.3,41.7,256.6,11.11,59.3,9.01,0.48,26.0,LOW,0
Cascades Valley,45.3036,-121.7087,22.47,20.36,29.25,8.16,1010.08,0.61,86.8,73.5,80.4,23.18,44.7,22.72,0.18,42.2,MEDIUM,0
Sierra Foothills,38.1069,-121.3619,14.24,19.87,53.79,6.94,1024.6,0.0,71.3,32.8,187.6,10.17,45.6,6.31,0.48,21.7,LOW,0
Pacific Coast Ridge,37.8729,-121.8969,35.69,21.92,40.63,2.73,1010.4,0.0,97.7,67.0,776.0,32.45,110.2,80.0,0.35,72.1,HIGH,1
Sierra Foothills,38.6507,-120.4856,31.47,21.71,44.44,16.57,996.23,0.0,86.3,37.5,455.2,29.38,62.2,58.72,0.48,76.2,HIGH,1
Northern Boreal,49.4238,-122.3518,24.02,20.63,16.68,10.23,1015.13,2.2,91.0,22.3,169.8,30.76,33.5,36.32,0.22,47.2,MEDIUM,0
Sierra Foothills,38.8913,-120.5571,23.45,20.95,34.81,9.9,976.39,0.0,85.7,70.6,276.8,23.38,86.2,44.65,0.48,60.6,HIGH,1
Sierra Foothills,38.5906,-120.9896,30.15,20.12,60.54,9.59,997.13,0.4,80.6,49.9,375.0,17.86,74.9,22.34,0.48,39.5,MEDIUM,0
Cascades Valley,45.6472,-122.2792,27.34,22.61,12.68,17.34,1028.48,0.74,99.5,78.3,526.3,40.0,114.1,80.0,0.18,65.0,HIGH,1
Northern Boreal,49.5726,-122.634,17.81,22.45,48.64,14.12,1012.39,0.0,82.6,66.4,271.3,22.79,82.4,40.22,0.22,48.0,MEDIUM,0
Northern Boreal,49.1426,-122.89,24.96,21.34,41.33,15.56,1024.46,0.0,86.5,48.2,623.0,28.93,80.8,72.92,0.22,58.9,MEDIUM,0
Sierra Foothills,38.7105,-120.8351,14.02,21.32,61.75,9.81,1025.24,0.0,69.2,29.4,51.2,10.11,24.1,3.31,0.48,19.0,LOW,0
Cascades Valley,45.669,-121.6608,20.29,21.42,76.62,6.26,1032.62,1.43,61.2,23.6,248.6,5.96,38.1,3.45,0.18,0.0,LOW,0
Sierra Foothills,38.5392,-121.0998,19.81,21.27,80.98,13.25,1032.62,2.01,57.3,12.2,216.6,6.2,21.3,1.98,0.48,4.5,LOW,0
Sierra Foothills,38.5439,-120.7874,42.81,19.61,55.68,10.91,1002.26,1.33,86.7,60.2,454.8,25.39,90.5,57.28,0.48,61.7,HIGH,1
Pacific Coast Ridge,37.7561,-122.2676,35.7,20.74,58.57,14.3,1012.6,2.51,75.5,114.8,420.1,16.03,136.4,33.87,0.35,45.9,MEDIUM,0
Pacific Coast Ridge,37.857,-122.3339,38.73,21.24,47.42,3.97,1022.1,0.0,97.7,47.9,244.1,34.29,64.3,80.0,0.35,66.3,HIGH,1
Cascades Valley,45.5164,-122.0937,22.57,21.71,48.64,15.14,996.49,7.16,57.8,68.2,247.9,6.72,80.8,7.91,0.18,0.0,LOW,0
High Desert Plateau,34.8028,-117.1938,17.02,19.46,40.48,8.17,1014.13,0.66,80.2,75.2,152.3,16.64,67.3,17.76,0.28,26.9,LOW,0
Pacific Coast Ridge,37.8542,-122.6563,23.14,20.7,38.13,0.86,1033.03,0.0,85.2,50.0,331.6,15.91,72.7,17.84,0.35,39.4,MEDIUM,0
High Desert Plateau,34.2092,-117.4489,33.0,19.43,63.79,17.86,1009.6,0.0,85.1,59.8,78.0,28.67,41.0,36.06,0.28,60.3,HIGH,1
Northern Boreal,49.0265,-122.5553,37.11,22.05,65.82,13.65,1021.09,0.0,87.7,44.9,417.6,29.0,70.8,64.35,0.22,58.0,MEDIUM,0
Pacific Coast Ridge,38.2334,-122.7415,29.27,21.27,77.82,14.27,1011.69,0.0,74.3,54.0,395.6,15.03,80.5,18.09,0.35,33.3,MEDIUM,0
Pacific Coast Ridge,37.9686,-122.8368,30.85,21.46,45.18,7.94,1039.7,0.0,90.0,100.7,511.1,27.09,134.9,80.0,0.35,62.5,HIGH,1
Cascades Valley,45.2343,-121.6213,13.02,20.18,48.46,18.11,1016.63,0.0,73.4,48.2,283.2,16.03,67.6,16.8,0.18,34.0,MEDIUM,0
High Desert Plateau,34.2737,-117.0654,21.98,19.91,45.47,8.46,1011.24,0.02,80.4,83.9,636.5,16.99,126.3,34.51,0.28,46.0,MEDIUM,0
Pacific Coast Ridge,37.8226,-121.9787,23.01,22.2,87.86,6.22,1012.9,0.0,61.6,101.7,348.0,6.08,117.5,10.79,0.35,22.7,LOW,0
Pacific Coast Ridge,37.7869,-122.3419,39.2,21.47,55.06,6.61,1012.07,0.9,85.6,53.9,296.2,20.71,74.0,29.36,0.35,52.2,MEDIUM,0
Cascades Valley,45.5789,-121.6337,20.68,22.44,59.0,3.52,1021.92,1.71,71.2,81.1,391.5,8.86,106.9,12.96,0.18,9.0,LOW,0
Cascades Valley,45.4694,-121.9474,23.53,21.11,5.0,7.04,1033.38,0.0,99.5,55.6,520.4,40.0,87.7,80.0,0.18,70.2,HIGH,1
High Desert Plateau,34.3678,-117.5029,35.08,19.72,62.15,4.7,1029.16,2.84,67.9,30.2,296.2,7.85,48.1,5.28,0.28,9.0,LOW,0
Northern Boreal,49.2534,-123.2544,20.91,19.34,44.17,0.84,1002.51,5.83,58.6,4.5,671.6,4.15,8.8,0.67,0.22,0.0,LOW,0
Northern Boreal,49.1109,-122.8458,34.89,20.38,26.63,7.26,998.1,0.0,98.6,49.1,441.6,40.0,76.8,80.0,0.22,66.3,HIGH,1
Sierra Foothills,38.6899,-121.1345,18.06,21.71,39.34,5.68,1015.64,0.14,76.8,45.6,845.0,12.79,80.3,14.42,0.48,32.2,MEDIUM,0
Pacific Coast Ridge,38.0284,-122.268,37.99,21.03,58.74,16.48,1013.4,0.0,95.7,43.4,503.4,40.0,71.4,80.0,0.35,63.4,HIGH,1
High Desert Plateau,34.2864,-117.1732,27.87,21.91,61.02,8.04,1007.41,0.0,77.3,51.7,563.4,14.34,84.1,17.64,0.28,31.9,MEDIUM,0
Pacific Coast Ridge,37.7009,-122.6913,39.38,22.77,36.98,6.86,1019.35,4.6,83.3,138.2,382.3,18.58,145.2,46.52,0.35,34.6,MEDIUM,0
High Desert Plateau,34.58,-116.7926,29.87,20.19,74.27,9.01,991.91,0.37,73.3,74.4,435.9,12.15,104.3,17.56,0.28,28.5,LOW,0
High Desert Plateau,34.6998,-117.0846,21.42,20.45,31.91,21.66,1008.29,1.19,89.0,24.4,231.4,38.5,38.6,80.0,0.28,52.5,MEDIUM,0
High Desert Plateau,34.4464,-117.4177,26.9,21.07,56.43,14.3,997.5,0.0,80.2,119.3,394.4,20.27,135.9,51.58,0.28,47.0,MEDIUM,0
Pacific Coast Ridge,37.8091,-122.7334,5.54,20.82,42.79,14.08,999.57,0.0,72.6,12.8,267.9,13.74,22.9,4.51,0.35,24.2,LOW,0
Cascades Valley,45.6262,-121.7182,27.73,21.27,41.03,16.17,1029.28,0.0,91.2,43.8,231.0,37.29,59.4,80.0,0.18,64.2,HIGH,1
Pacific Coast Ridge,37.909,-122.4199,38.96,20.88,68.04,14.71,994.71,0.0,88.5,53.1,154.6,31.16,57.1,64.48,0.35,65.4,HIGH,1
High Desert Plateau,34.2484,-117.1381,46.0,20.76,22.03,7.96,1026.56,0.0,99.5,180.0,214.3,40.0,116.1,80.0,0.28,91.7,CRITICAL,1
Sierra Foothills,38.3918,-120.5377,33.67,20.35,24.44,14.65,1017.74,0.0,99.5,48.6,407.8,40.0,74.8,80.0,0.48,82.5,HIGH,1
Northern Boreal,49.5701,-122.6533,31.19,21.47,44.89,10.46,1002.76,0.0,91.3,80.1,245.4,31.53,88.2,80.0,0.22,59.2,MEDIUM,0
High Desert Plateau,34.3735,-117.0545,16.67,20.52,71.49,11.65,989.17,1.78,62.0,49.5,569.8,7.5,81.3,8.6,0.28,0.0,LOW,0
Sierra Foothills,38.2567,-120.8489,25.35,20.38,27.53,10.83,995.72,0.0,94.6,90.4,234.6,37.6,92.1,80.0,0.48,70.0,HIGH,1
Cascades Valley,45.3302,-121.4791,33.51,20.92,13.82,11.43,997.62,0.0,99.5,64.2,532.2,40.0,98.7,80.0,0.18,89.1,CRITICAL,1
High Desert Plateau,34.2767,-117.1844,24.53,19.28,53.31,7.29,999.16,0.0,78.3,133.6,266.9,14.65,118.7,25.67,0.28,37.6,MEDIUM,0
Sierra Foothills,38.2501,-121.056,26.78,21.75,69.86,11.86,1000.78,0.89,71.7,50.1,540.4,12.28,81.4,13.9,0.48,24.1,LOW,0
High Desert Plateau,34.5759,-117.189,28.91,20.25,59.23,5.68,1018.15,0.0,74.0,104.3,850.0,11.13,150.0,22.83,0.28,38.0,MEDIUM,0
Pacific Coast Ridge,37.5427,-122.6765,33.47,20.94,42.79,10.78,1013.41,0.0,90.8,60.9,305.5,31.12,81.3,80.0,0.35,62.9,HIGH,1
Sierra Foothills,38.6516,-121.0848,36.14,21.04,46.81,7.31,1030.71,1.25,91.7,84.2,481.9,28.8,117.2,80.0,0.48,64.2,HIGH,1
Pacific Coast Ridge,37.6335,-122.087,24.71,20.44,66.0,6.33,999.25,0.0,77.0,88.9,396.7,13.27,114.0,21.48,0.35,32.5,MEDIUM,0
Pacific Coast Ridge,37.9725,-122.5039,27.95,21.59,50.59,10.36,1006.2,0.0,84.6,51.3,476.0,22.47,80.8,38.22,0.35,55.1,MEDIUM,0
Sierra Foothills,38.2879,-120.6682,18.36,20.21,36.96,6.3,1016.84,0.5,82.3,32.1,307.8,17.3,50.9,14.36,0.48,31.8,MEDIUM,0
Northern Boreal,48.5954,-122.4544,19.88,21.4,50.23,8.29,994.49,0.0,80.3,37.7,228.2,16.87,53.4,14.41,0.22,31.8,MEDIUM,0
Sierra Foothills,38.5169,-120.8566,19.23,21.31,53.31,14.09,1003.55,0.0,73.2,50.0,285.9,14.21,69.6,14.4,0.48,29.0,LOW,0
Northern Boreal,49.3559,-123.1001,4.08,21.16,55.15,8.81,1035.81,0.0,73.1,12.6,198.8,11.93,21.7,3.58,0.22,10.4,LOW,0
High Desert Plateau,34.8342,-117.2829,37.77,21.22,48.51,5.55,1026.13,0.0,95.5,59.6,565.1,32.69,94.3,80.0,0.28,71.0,HIGH,1
High Desert Plateau,34.164,-117.1574,28.33,20.54,56.66,17.41,1037.23,2.97,72.8,34.0,414.5,15.24,56.4,12.95,0.28,27.3,LOW,0
Sierra Foothills,38.6466,-121.1115,30.79,21.71,55.2,7.44,1013.26,0.0,88.6,87.1,233.7,24.75,90.2,53.55,0.48,58.2,MEDIUM,0
High Desert Plateau,34.3546,-116.5953,11.92,21.15,48.58,0.5,995.42,0.0,72.4,24.0,223.3,8.19,37.8,4.28,0.28,19.5,LOW,0
Cascades Valley,45.5886,-121.5167,24.97,20.32,57.4,4.0,1000.72,1.91,72.0,12.6,242.7,9.37,22.3,2.84,0.18,12.3,LOW,0
Pacific Coast Ridge,37.915,-122.2052,18.72,21.37,66.75,9.36,990.33,0.89,69.7,30.3,283.0,10.25,47.8,6.66,0.35,17.3,LOW,0
Pacific Coast Ridge,38.0134,-122.2722,39.37,21.6,38.64,10.58,1001.97,0.0,98.3,69.8,458.4,40.0,101.1,80.0,0.35,73.4,HIGH,1
Northern Boreal,49.0392,-122.8909,37.2,21.01,35.45,14.66,1018.97,0.64,94.5,127.3,296.5,40.0,122.8,80.0,0.22,79.2,HIGH,1
High Desert Plateau,34.504,-117.4344,25.79,20.82,66.63,11.69,1020.9,0.31,75.4,72.1,505.2,14.72,106.3,23.16,0.28,34.9,MEDIUM,0
Northern Boreal,49.255,-123.0189,27.43,19.55,61.79,10.56,1020.15,0.5,79.9,25.1,560.1,17.81,45.2,13.42,0.22,29.8,LOW,0
Pacific Coast Ridge,37.2834,-122.8346,23.24,19.13,51.89,5.45,1037.86,0.0,85.8,22.5,662.1,20.02,41.5,15.37,0.35,31.5,MEDIUM,0
Pacific Coast Ridge,37.4353,-122.025,9.31,22.4,33.3,3.56,991.49,1.98,64.0,35.3,187.5,6.16,48.0,4.45,0.35,13.7,LOW,0
High Desert Plateau,34.5865,-117.2629,30.76,20.88,48.17,17.67,1029.42,0.0,96.0,61.9,279.7,40.0,79.7,80.0,0.28,67.9,HIGH,1
Cascades Valley,45.6318,-121.9309,38.64,21.03,64.72,1.68,1018.94,0.0,90.9,58.9,243.4,22.04,73.4,33.26,0.18,55.2,MEDIUM,0
Cascades Valley,45.711,-121.6959,28.61,20.25,36.86,1.4,1006.13,0.82,81.0,36.6,246.4,13.2,53.3,9.99,0.18,32.3,MEDIUM,0
High Desert Plateau,34.5644,-116.9525,28.29,21.62,21.59,11.73,1019.07,0.0,95.8,59.1,369.8,40.0,84.5,80.0,0.28,68.0,HIGH,1
High Desert Plateau,34.025,-117.6905,29.66,21.84,55.25,2.64,1039.14,0.0,78.5,24.2,453.5,12.32,42.6,7.31,0.28,36.8,MEDIUM,0
Northern Boreal,49.2956,-122.8842,18.36,20.84,28.42,5.23,1022.71,2.27,76.1,26.4,412.5,12.12,45.5,7.64,0.22,11.3,LOW,0
High Desert Plateau,34.4396,-117.5024,24.16,19.74,67.12,6.94,1026.93,0.0,67.0,21.2,362.9,8.21,37.0,4.21,0.28,15.3,LOW,0
Cascades Valley,45.365,-121.9493,23.01,22.54,23.49,13.05,1023.31,0.0,94.4,46.1,476.6,39.98,74.3,80.0,0.18,60.5,HIGH,1
High Desert Plateau,34.5285,-117.5979,27.55,20.64,39.84,19.3,1021.57,0.0,89.9,84.7,525.8,38.0,120.7,80.0,0.28,64.1,HIGH,1
Northern Boreal,49.4257,-122.7954,22.01,20.42,11.63,1.33,1003.46,3.34,89.5,78.0,112.6,20.12,57.1,21.36,0.22,26.0,LOW,0
Northern Boreal,49.8137,-123.1303,17.94,20.6,48.77,9.82,1022.51,0.0,81.2,52.1,110.6,18.56,47.9,15.31,0.22,30.4,MEDIUM,0
Northern Boreal,49.0157,-123.1944,22.79,20.45,65.67,24.87,1019.55,0.0,73.9,55.7,462.5,19.29,85.7,29.47,0.22,43.7,MEDIUM,0
Northern Boreal,49.2994,-122.7502,27.59,20.35,29.85,13.13,1009.75,0.88,89.9,37.6,429.9,32.02,61.7,75.76,0.22,63.8,HIGH,1
Sierra Foothills,38.6449,-120.5621,33.41,21.91,45.39,3.4,1020.99,0.0,90.6,71.0,399.5,23.32,98.3,50.63,0.48,59.9,MEDIUM,0
High Desert Plateau,34.5259,-117.2171,30.97,20.67,29.51,19.29,1013.32,0.0,99.5,79.7,299.5,40.0,95.7,80.0,0.28,77.8,HIGH,1
Pacific Coast Ridge,38.0669,-122.2571,16.53,19.9,22.04,9.49,998.52,0.0,88.9,11.8,245.1,27.09,21.1,15.81,0.35,47.5,MEDIUM,0
High Desert Plateau,34.9522,-117.4005,15.08,20.75,37.11,7.23,1011.15,0.0,81.4,33.4,277.4,17.09,51.4,14.19,0.28,28.8,LOW,0
Sierra Foothills,38.7946,-121.0369,27.68,20.67,25.76,7.71,1012.74,0.0,94.2,22.0,91.2,33.17,27.4,37.81,0.48,62.4,HIGH,1
Northern Boreal,48.9855,-123.0593,34.88,22.91,61.91,2.75,979.6,0.0,83.8,44.5,496.4,16.18,72.7,18.32,0.22,42.5,MEDIUM,0
Sierra Foothills,38.1277,-120.832,35.34,19.66,59.4,15.55,1003.88,0.0,85.6,14.4,640.7,27.57,27.3,21.53,0.48,56.7,MEDIUM,0
Cascades Valley,45.2454,-121.8115,23.74,21.21,25.48,8.76,1013.95,0.0,95.4,34.5,621.0,36.55,60.6,80.0,0.18,67.7,HIGH,1
Cascades Valley,45.9678,-121.6197,25.98,22.33,29.94,17.86,1009.58,0.2,95.6,64.7,245.8,40.0,78.0,80.0,0.18,65.9,HIGH,1
High Desert Plateau,34.5686,-117.4044,28.68,21.65,38.31,11.82,991.5,0.31,91.4,33.4,306.0,33.04,52.5,71.47,0.28,62.3,HIGH,1
High Desert Plateau,34.7457,-117.191,13.08,21.38,45.55,7.48,1017.58,0.0,74.0,30.1,188.8,11.92,43.0,7.09,0.28,24.5,LOW,0
Pacific Coast Ridge,38.194,-122.5079,20.97,22.55,95.93,3.99,1026.52,1.31,54.4,42.9,234.6,3.88,58.9,4.34,0.35,0.0,LOW,0
Pacific Coast Ridge,38.0582,-122.395,27.12,19.48,43.17,11.02,1017.79,2.99,76.4,17.5,165.8,15.14,27.6,6.28,0.35,18.6,LOW,0
Cascades Valley,45.1155,-122.1109,20.2,20.78,24.12,14.01,1003.38,0.0,89.9,25.9,551.5,32.89,46.3,62.13,0.18,62.6,HIGH,1
Northern Boreal,49.4768,-122.4339,21.04,20.72,44.18,9.06,1000.55,0.0,79.7,21.2,126.6,16.76,29.8,7.98,0.22,35.7,MEDIUM,0
Sierra Foothills,38.8839,-121.2464,16.06,20.65,52.05,19.38,979.5,0.0,77.1,48.2,231.0,19.98,63.4,23.37,0.48,49.3,MEDIUM,0
Pacific Coast Ridge,38.1689,-122.4388,28.1,21.05,55.22,19.84,989.93,0.0,80.6,60.4,332.4,24.02,83.0,45.86,0.35,55.9,MEDIUM,0
Pacific Coast Ridge,37.6183,-122.2779,17.08,20.64,58.72,1.78,1014.49,3.06,53.9,68.1,462.6,3.42,99.6,7.01,0.35,0.0,LOW,0
Northern Boreal,48.8556,-122.4538,42.8,21.53,38.93,12.41,1019.66,0.47,99.5,78.8,192.1,40.0,77.8,80.0,0.22,79.5,HIGH,1
Northern Boreal,49.5594,-122.6323,32.43,21.58,49.45,12.36,1004.9,1.98,82.3,52.5,174.6,21.33,60.0,25.3,0.22,37.4,MEDIUM,0
High Desert Plateau,34.3946,-117.0284,23.43,20.64,52.67,5.0,1022.04,0.0,73.6,48.3,368.2,10.62,72.8,10.52,0.28,34.0,MEDIUM,0
Sierra Foothills,38.7872,-120.793,27.29,20.73,85.46,2.06,1025.94,0.0,65.0,43.8,477.0,6.07,71.3,6.53,0.48,18.7,LOW,0
Northern Boreal,49.0851,-123.032,27.05,19.45,5.0,10.27,1004.48,1.82,96.6,43.8,178.8,40.0,54.3,80.0,0.22,51.7,MEDIUM,0
Pacific Coast Ridge,37.5306,-122.3016,18.98,20.38,56.41,10.71,1000.13,0.0,79.4,5.5,175.2,17.45,10.2,2.93,0.35,23.9,LOW,0
Pacific Coast Ridge,37.8173,-122.5154,35.79,20.9,65.39,4.37,1028.51,0.0,82.9,50.7,727.0,16.52,86.3,22.51,0.35,41.9,MEDIUM,0
Cascades Valley,45.5193,-121.7111,10.78,20.97,32.12,12.41,1015.13,1.8,72.8,25.2,162.5,13.21,36.3,6.81,0.18,17.3,LOW,0
Northern Boreal,49.3131,-123.2626,28.64,21.07,62.24,2.76,1013.78,0.0,75.3,48.3,276.5,10.52,67.2,9.62,0.22,27.2,LOW,0
High Desert Plateau,34.6173,-117.2605,32.92,21.55,46.72,6.8,1027.76,0.0,88.0,37.5,801.9,23.47,67.2,35.1,0.28,53.0,MEDIUM,0
Sierra Foothills,38.3727,-121.2857,36.5,22.41,31.8,11.84,1018.82,0.1,98.0,93.8,347.8,40.0,112.0,80.0,0.48,80.8,HIGH,1
High Desert Plateau,34.4744,-117.2683,34.06,21.15,57.57,5.13,1020.63,0.0,85.4,89.1,378.4,19.35,112.2,38.82,0.28,56.0,MEDIUM,0
Pacific Coast Ridge,37.7914,-122.4511,27.68,21.04,36.32,10.4,996.98,1.58,86.6,62.9,538.2,24.84,97.4,58.4,0.35,55.4,MEDIUM,0
High Desert Plateau,34.63,-117.3695,29.36,19.59,18.54,6.75,1008.07,0.0,99.4,56.4,146.1,40.0,57.4,80.0,0.28,71.4,HIGH,1
Pacific Coast Ridge,37.3856,-122.5376,22.53,21.46,70.22,9.86,1006.62,0.0,75.2,27.2,237.3,13.72,42.3,8.33,0.35,23.2,LOW,0
Pacific Coast Ridge,37.7166,-122.2486,15.1,21.87,64.66,7.46,1016.95,0.0,67.5,48.2,242.8,8.56,64.4,7.58,0.35,20.2,LOW,0
Pacific Coast Ridge,38.3165,-122.2008,23.37,20.13,16.67,12.38,1003.75,0.0,95.0,14.9,477.8,40.0,27.7,75.59,0.35,67.5,HIGH,1
Pacific Coast Ridge,37.5773,-122.451,29.78,20.61,73.02,34.64,1025.5,6.14,57.4,64.2,335.9,10.26,86.9,12.12,0.35,7.9,LOW,0
Pacific Coast Ridge,37.937,-122.304,21.65,21.1,75.4,6.77,1005.21,0.0,70.1,34.3,492.8,9.52,58.4,7.57,0.35,20.6,LOW,0
Cascades Valley,45.6422,-121.8041,9.12,20.09,24.87,6.93,1006.12,0.0,79.5,21.9,54.1,15.39,21.8,5.07,0.18,33.6,MEDIUM,0
High Desert Plateau,34.7131,-117.4348,36.62,19.44,27.68,4.79,1015.03,3.62,92.2,39.8,265.4,26.89,57.9,42.58,0.28,45.9,MEDIUM,0
Cascades Valley,45.5877,-121.5702,16.45,21.48,41.46,4.51,1027.47,1.28,71.5,38.9,248.4,9.35,55.9,7.12,0.18,8.7,LOW,0
Cascades Valley,45.7006,-121.7904,28.24,20.15,30.11,6.62,991.29,0.0,93.5,30.0,374.3,30.84,50.0,54.6,0.18,68.2,HIGH,1
Northern Boreal,49.2164,-122.9358,36.29,21.1,55.51,9.79,996.67,0.0,88.0,13.7,304.3,26.11,24.6,16.78,0.22,48.7,MEDIUM,0
Northern Boreal,49.1302,-123.3153,45.2,20.07,39.19,16.38,998.25,0.0,99.5,141.8,107.6,40.0,66.0,80.0,0.22,79.9,HIGH,1
Northern Boreal,49.3221,-123.2349,23.88,20.04,54.11,7.75,1007.14,0.0,80.2,44.6,850.0,16.42,78.9,20.37,0.22,36.3,MEDIUM,0
Sierra Foothills,38.571,-121.2829,6.71,21.96,41.05,9.36,1004.16,3.42,54.7,31.7,311.9,4.8,50.5,4.08,0.48,2.3,LOW,0
Northern Boreal,49.6081,-123.1271,14.72,20.15,58.39,14.7,1026.62,5.59,46.1,33.2,359.9,3.69,54.0,3.9,0.22,0.0,LOW,0
